spec_id,file,pl_name,spec_type,authors,instrument,facility,bibcode,n_points,n_usable,wave_min,wave_max,obs_date_min,obs_date_max
218,56-03-48-86__GJ_3470_b_3.11524_3413_1.tbl,GJ 3470 b,Transmission,Biddle et al. 2014,,Large Binocular Telescope Observatory,2014MNRAS.443.1810B,2,2,0.3575,0.9635,,
219,38-30-73-76__GJ_3470_b_3.11524_3413_7.tbl,GJ 3470 b,Transmission,Biddle et al. 2014,SBIG imager,LCOGT 1m telescope at Cerro Tololo Inter-American Observatory,2014MNRAS.443.1810B,2,2,0.6274,0.87,,
220,65-67-67-29__GJ_3470_b_3.11524_3712_5.tbl,GJ 3470 b,Transmission,Dragomir et al. 2015,SBIG imager,LCOGT 1m telescope at South African Astronomical Observatory,2015ApJ...814..102D,3,3,0.763,0.763,,
221,42-69-84-13__WASP_98_b_3.11669_3846_1.tbl,WASP-98 b,Transmission,Mancini et al. 2016,GROND,Max Planck Gesellschaft 2.2 meter Telescope at European Southern Observatory,2016MNRAS.461.1053M,8,8,0.459,0.8989,,
222,49-47-85-26__WASP_74_b_3.11772_4289_3.tbl,WASP-74 b,Transmission,Mancini et al. 2019,DLR-MKIII camera,Calar Alto Observatory's 1.2 meter Telescope,2019MNRAS.485.5168M,1,1,0.787,0.787,,
223,12-56-49-47__WASP_121_b_3.11900_3831_1.tbl,WASP-121 b,Transmission,Evans et al. 2016,Wide Field Camera 3,Hubble Space Telescope satellite,2016ApJ...822L...4E,31,31,0.4365,1.6315,,
224,94-84-34-78__WASP_127_b_3.11973_4164_1.tbl,WASP-127 b,Transmission,Chen et al. 2018,ALFOSC,Nordic Optical Telescope,2018A&A...616A.145C,27,27,0.405,0.935,,
225,70-04-27-26__GJ_486_b_3.12681_5146_2.tbl,GJ 486 b,Transmission,Moran et al. 2023,Near Infrared Spectrograph (NIRSpec),NASA 6.5m James Webb Space Telescope (JWST) Satellite Mission,2023ApJ...948L..11M,46,46,2.854,5.026,,
226,77-65-09-23__Kepler_14_b_3.158_3665_2.tbl,Kepler-14 b,Transmission,D&eacute;sert et al. 2015,Kepler CCD Array,The Kepler Mission,2015ApJ...804...59D,1,1,0.6,0.6,,
227,82-80-48-15__KOI_94_d_3.18_3665_1.tbl,KOI-94 d,Transmission,D&eacute;sert et al. 2015,Infrared Array Camera (IRAC),Spitzer Space Telescope satellite,2015ApJ...804...59D,1,1,4.5,4.5,,
228,00-50-88-26__Kepler_11_e_3.207_3665_2.tbl,Kepler-11 e,Transmission,D&eacute;sert et al. 2015,Kepler CCD Array,The Kepler Mission,2015ApJ...804...59D,1,1,0.6,0.6,,
229,02-17-63-22__TrES_2_b_3.237_2096_1.tbl,TrES-2 b,Eclipse,Croll et al. 2010,Wide-field Infrared Camera (WIRCam),3.58m Canada-France-Hawaii Telescope (CFHT) at Mauna Kea Observatory,2010ApJ...717.1084C,1,1,2.146,2.146,,
