target,planet,visit,det,bin,wave_lo_um,wave_hi_um,n_fits,sigma_cal_ppm,sigma_resid_ppm,bias_slope,dd_obs_ppm,cal_vs_boot,ul95_abs_dd_ppm
K2-18,K2-18 b,jw02372005001,nrs2,5,4.668794199410509,4.83851490668718,40,181.42419710376657,197.735714158414,1.0450627213154937,104.35527050518508,0.7981404997025475,402.79807474088113
K2-18,K2-18 b,jw02372007001,nrs1,0,2.862006211143523,2.9693409859620177,40,93.35934947813367,84.44791868700749,0.9623224444668127,76.4461762822622,1.0471267456286437,230.0223061737921
K2-18,K2-18 b,jw02372007001,nrs1,1,2.9693409859620177,3.076675760780512,40,65.68930883678108,83.47641874443124,1.0765469692498164,-36.00042623406411,0.7239649666386555,144.05933927056898
K2-18,K2-18 b,jw02372007001,nrs1,2,3.076675760780512,3.1840105355990067,40,111.33922144347505,95.23962569033924,1.0798867380386594,8.272167304426963,1.4810364360815056,191.42518657894342
K2-18,K2-18 b,jw02372007001,nrs1,3,3.1840105355990067,3.291345310417501,40,57.650088184513834,76.92003730684578,0.9140677009872976,61.7062541761206,0.8881109444509586,156.54064923964586
K2-18,K2-18 b,jw02372007001,nrs1,4,3.291345310417501,3.398680085235996,40,70.04925322788931,62.78092462074194,0.8719342562614498,18.50749893058442,1.4105070289879473,133.73852049046235
K2-18,K2-18 b,jw02372007001,nrs1,5,3.398680085235996,3.5060148600544903,40,31.469347293185905,44.107147700694966,1.1291530529342033,-39.7146527360546,0.6403406805800529,91.48172903334542
K2-18,K2-18 b,jw02372007001,nrs1,6,3.5060148600544903,3.6133496348729848,40,44.65359977242455,42.30340619716404,0.9178712631377907,-3.446515261124831,1.0722146483351624,76.90168688676322
K2-18,K2-18 b,jw02372007001,nrs1,7,3.6133496348729848,3.7206844096914793,40,55.73393724226339,52.73342791444537,1.0379054880794132,-22.615623703722484,0.9930064844768581,114.29795046724576
K2-18,K2-18 b,jw02372007001,nrs2,0,3.81963302629949,3.989354526768324,40,45.00094357678604,47.27668687698582,0.8968044521943763,-53.3047934627778,0.9283523207314008,127.33134564659085
K2-18,K2-18 b,jw02372007001,nrs2,1,3.989354526768324,4.159076027237157,40,46.50920887701428,43.322975030940455,0.9365194078265114,10.68058918054582,1.070764086577767,87.18823778323431
K2-18,K2-18 b,jw02372007001,nrs2,2,4.159076027237157,4.328797527705991,40,40.69666320151394,54.76147546034439,0.9595603250773738,10.218913996493711,0.8723631918156581,77.16492496298414
K2-18,K2-18 b,jw02372007001,nrs2,3,4.328797527705991,4.498519028174824,40,79.52428642482549,69.16354833492056,0.8579339678742693,30.23783222556994,1.2647440528614657,161.05528339440787
K2-18,K2-18 b,jw02372007001,nrs2,4,4.498519028174824,4.668240528643658,40,143.86222574453498,115.49685280693129,1.0505148852907042,33.94663563367718,1.1624145930629992,270.5999969834372
K2-18,K2-18 b,jw02372007001,nrs2,5,4.668240528643658,4.837962029112491,40,536.2757095245272,512.0000870911882,0.7754618494601874,55.43634575093381,1.0827615237576231,937.609887918781
LHS-1140,LHS 1140 b,jw07073024001,nrs1,0,2.84824423036032,3.140621419575656,40,166.44343161801288,144.10626491250937,0.9554512180437467,-176.8989813338631,1.5287812078743315,450.6984263454943
LHS-1140,LHS 1140 b,jw07073024001,nrs1,1,3.140621419575656,3.432998608790992,40,104.75066010386125,130.40347034386272,0.899309371715052,-173.823125512426,0.7975776554929791,346.1379613832778
LHS-1140,LHS 1140 b,jw07073024001,nrs1,2,3.432998608790992,3.725375798006328,40,66.87117288492459,61.53071821719585,1.0523458265843322,-112.61986286278426,1.0814694301652157,222.6229422584852
LHS-1140,LHS 1140 b,jw07073024001,nrs1,3,3.725375798006328,4.017752987221664,40,32.547011605680865,41.17715939413165,1.132462215650616,-64.8151716851203,0.7394738635134296,118.35500577646533
LHS-1140,LHS 1140 b,jw07073024001,nrs1,4,4.017752987221664,4.310130176437,40,67.31226577213867,65.36333679204454,1.02576456710354,-76.79245135195582,0.9377073877783746,187.52112854712394
LHS-1140,LHS 1140 b,jw07073024001,nrs1,5,4.310130176437,4.602507365652336,40,86.6175557286868,77.52981168566697,0.9167007579437579,-37.93123120239984,1.1995508795298249,180.41711037608962
LHS-1140,LHS 1140 b,jw07073024001,nrs1,6,4.602507365652336,4.894884554867672,40,183.10692366904874,172.54178116014165,1.034553729751957,50.28701674083917,1.0595583339504033,351.49790617642435
LHS-1140,LHS 1140 b,jw07073024001,nrs1,7,4.894884554867672,5.187261744083008,40,225.30351937125906,235.7139141644047,1.0131160624535243,149.9615741800452,0.8855606063238426,520.5858635457664
LHS-1140,LHS 1140 b,jw07073025001,nrs1,0,2.849107320303722,3.1409822853726634,40,99.4115551848575,95.45038554592239,1.043373280649745,-156.11023804192743,1.2446945394917608,319.64224632101804
LHS-1140,LHS 1140 b,jw07073025001,nrs1,1,3.1409822853726634,3.432857250441605,40,125.50709977901029,115.99700728757053,0.9238698158770897,-150.14813526991605,1.162229158641258,356.607314406388
