target,visit,det,bin,wave_lo_um,wave_hi_um,n_cols,n_ok,oot_scatter_ppm
TOI-776,jw02512003001,nrs1,6,3.506043114302216,3.6134681248572242,159,3636,563.0198422995462
TOI-776,jw02512003001,nrs1,7,3.6134681248572242,3.720893135412232,160,3636,551.110379449711
TOI-776,jw02512003001,nrs2,0,3.819846811472352,3.989576792564478,254,3636,544.6320742434605
TOI-776,jw02512003001,nrs2,1,3.989576792564478,4.159306773656604,253,3636,653.7348288007447
TOI-776,jw02512003001,nrs2,2,4.159306773656604,4.32903675474873,255,3636,796.1311041794511
TOI-776,jw02512003001,nrs2,3,4.32903675474873,4.498766735840856,255,3636,987.6344527034715
TOI-776,jw02512003001,nrs2,4,4.498766735840856,4.668496716932982,256,3636,1076.2067277893227
TOI-776,jw02512003001,nrs2,5,4.668496716932982,4.838226698025107,257,3636,2570.307830481933
TOI-776,jw02512003001,nrs2,6,4.838226698025107,5.007956679117233,258,3636,126684.33733157888
TOI-776,jw02512003001,nrs2,7,5.007956679117233,5.177686660209359,260,3636,6438.151034293549
TOI-776,jw02512004001,nrs1,0,2.861530453545439,2.9689537175170906,159,3636,627.1359642974655
TOI-776,jw02512004001,nrs1,1,2.9689537175170906,3.076376981488742,158,3636,581.7582904829812
TOI-776,jw02512004001,nrs1,2,3.076376981488742,3.1838002454603935,159,3636,596.2759487740557
TOI-776,jw02512004001,nrs1,3,3.1838002454603935,3.2912235094320446,158,3636,604.1501985544035
TOI-776,jw02512004001,nrs1,4,3.2912235094320446,3.398646773403696,159,3636,568.0391347430468
TOI-776,jw02512004001,nrs1,5,3.398646773403696,3.5060700373753475,160,3636,581.6384085861284
TOI-776,jw02512004001,nrs1,6,3.5060700373753475,3.613493301346999,159,3636,546.3560144054927
TOI-776,jw02512004001,nrs1,7,3.613493301346999,3.7209165653186504,160,3636,549.5028879395284
TOI-776,jw02512004001,nrs2,0,3.819868595222458,3.9895957030106683,254,3636,518.0449777042803
TOI-776,jw02512004001,nrs2,1,3.9895957030106683,4.159322810798878,253,3636,653.3159584055921
TOI-776,jw02512004001,nrs2,2,4.159322810798878,4.3290499185870885,255,3636,786.1643024272724
TOI-776,jw02512004001,nrs2,3,4.3290499185870885,4.498777026375299,255,3636,992.5181994967138
TOI-776,jw02512004001,nrs2,4,4.498777026375299,4.668504134163509,256,3636,1086.63417673062
TOI-776,jw02512004001,nrs2,5,4.668504134163509,4.8382312419517195,257,3636,1484.4760079996202
TOI-776,jw02512004001,nrs2,6,4.8382312419517195,5.007958349739929,258,3636,13868.113334144959
TOI-776,jw02512004001,nrs2,7,5.007958349739929,5.177685457528139,260,3636,7117.874077790375
TOI-776,jw02512005001,nrs1,0,2.86193013214717,2.9692675886068045,159,3288,618.0653603113766
TOI-776,jw02512005001,nrs1,1,2.9692675886068045,3.0766050450664393,158,3288,577.4786809039241
TOI-776,jw02512005001,nrs1,2,3.0766050450664393,3.1839425015260736,158,3288,596.8259291259714
TOI-776,jw02512005001,nrs1,3,3.1839425015260736,3.291279957985708,159,3288,616.2972598034363
TOI-776,jw02512005001,nrs1,4,3.291279957985708,3.3986174144453427,159,3288,573.7930278793692
TOI-776,jw02512005001,nrs1,5,3.3986174144453427,3.505954870904977,159,3288,579.0370430340308
TOI-776,jw02512005001,nrs1,6,3.505954870904977,3.6132923273646114,159,3288,571.7802578581785
