target,visit,det,bin,wave_lo_um,wave_hi_um,n_cols,n_ok,oot_scatter_ppm
TOI-776,jw02512005001,nrs1,7,3.6132923273646114,3.720629783824246,160,3288,551.8089166212875
TOI-776,jw02512005001,nrs2,0,3.819580955478861,3.989306857983288,254,3288,517.731375488391
TOI-776,jw02512005001,nrs2,1,3.989306857983288,4.159032760487714,253,3288,641.0182608825002
TOI-776,jw02512005001,nrs2,2,4.159032760487714,4.328758662992142,255,3288,777.363522232838
TOI-776,jw02512005001,nrs2,3,4.328758662992142,4.498484565496568,255,3288,968.5468073778087
TOI-776,jw02512005001,nrs2,4,4.498484565496568,4.668210468000995,256,3288,1073.021685391147
TOI-776,jw02512005001,nrs2,5,4.668210468000995,4.837936370505421,257,3288,1592.8695685795035
TOI-776,jw02512005001,nrs2,6,4.837936370505421,5.007662273009848,258,3288,13101.314460999194
TOI-776,jw02512005001,nrs2,7,5.007662273009848,5.177388175514275,260,3288,6801.239423676298
TOI-776,jw02512006001,nrs1,0,2.8620083763449493,2.9693472007189445,159,3288,623.4615793278944
TOI-776,jw02512006001,nrs1,1,2.9693472007189445,3.0766860250929398,158,3288,594.7026300949987
TOI-776,jw02512006001,nrs1,2,3.0766860250929398,3.1840248494669354,158,3288,593.4391599456796
TOI-776,jw02512006001,nrs1,3,3.1840248494669354,3.2913636738409306,159,3288,581.8892306762156
TOI-776,jw02512006001,nrs1,4,3.2913636738409306,3.398702498214926,159,3288,592.4794820803951
TOI-776,jw02512006001,nrs1,5,3.398702498214926,3.5060413225889215,159,3288,571.506526129907
TOI-776,jw02512006001,nrs1,6,3.5060413225889215,3.6133801469629168,159,3288,543.5694651438621
TOI-776,jw02512006001,nrs1,7,3.6133801469629168,3.720718971336912,160,3288,542.8775421285023
TOI-776,jw02512006001,nrs2,0,3.8196712763215253,3.9893992817174295,254,3288,514.5102935704014
TOI-776,jw02512006001,nrs2,1,3.9893992817174295,4.159127287113334,253,3288,639.9040647557626
TOI-776,jw02512006001,nrs2,2,4.159127287113334,4.328855292509237,255,3288,779.2239343122169
TOI-776,jw02512006001,nrs2,3,4.328855292509237,4.498583297905141,255,3288,981.3593822883321
TOI-776,jw02512006001,nrs2,4,4.498583297905141,4.668311303301046,256,3288,1090.4387778895946
TOI-776,jw02512006001,nrs2,5,4.668311303301046,4.838039308696949,257,3288,1835.3910411039863
TOI-776,jw02512006001,nrs2,6,4.838039308696949,5.007767314092853,258,3288,14207.095294061475
TOI-776,jw02512006001,nrs2,7,5.007767314092853,5.177495319488758,260,3288,6746.027656708971
