pl_name,spec_type,spec_id_a,spec_id_b,authors_a,authors_b,instrument_a,instrument_b,same_instrument,epoch_class,tested,n,n_interp,offset,offset_err,chi2,dof,p_value,chi2_red,slope,slope_err,p_slope,chi2_red_slope,shared_suspect,significant,pair_class
WASP-80 b,Transmission,890,1062,Wong et al. 2022,Sedaghati et al. 2017,Space Telescope Imaging Spectrograph,FORS2,False,unknown,True,5.0,0.0,0.0189640680238539,0.0100186688930075,28.895973221338075,4.0,8.207124558895577e-06,7.223993305334519,-0.9967428354959434,0.1949274992438092,0.4319502841777467,0.9163614119586372,False,True,cross_paper
WASP-18 b,Eclipse,61,614,Coulombe et al. 2023,Changeat et al. 2022,Near Infrared Imager and Slitless Spectrograph (NIRISS),Wide Field Camera 3,False,unknown,True,25.0,0.0,-0.0040930954119468,0.0007687003839302,66.0893494050176,24.0,8.413607451588439e-06,2.753722891875733,-0.0349621581806261,0.0053783170692973,0.4131673227349974,1.036167944264503,False,True,cross_paper
WASP-19 b,Transmission,285,1673,Sedaghati et al. 2015,Sedaghati et al. 2017,FORS2,FORS2,True,unknown,True,8.0,0.0,-0.1106141356295678,0.0112084553370141,35.416645031642474,7.0,9.337800599436512e-06,5.059520718806068,-2.390260839664028,0.4762626631368581,0.1153564121835548,1.7047370930191146,False,True,cross_paper
TOI-5205 b,Transmission,1602,1605,Cañas et al. 2026,Cañas et al. 2026,Near Infrared Spectrograph (NIRSpec) - PRISM,Near Infrared Spectrograph (NIRSpec) - PRISM,True,unknown,True,469.0,0.0,0.0214524313038637,0.0024320435207709,610.3546055960901,468.0,9.694381412725107e-06,1.304176507683953,0.009930724682528,0.002479169105544,5.6871118377684016e-05,1.2726107951386934,False,True,epoch_diff_pipeline
WASP-12 b,Transmission,250,1680,Kreidberg et al. 2015,Swain et al. 2013,Wide Field Camera 3,Wide Field Camera 3,True,unknown,True,8.0,0.0,-0.0045956279437203,0.0023319501416076,34.97637422358474,7.0,1.129935749963867e-05,4.996624889083535,-0.0502192708977596,0.016148204557453,0.000299794949956,4.217484657350768,False,True,cross_paper
TOI-776 b,Transmission,951,952,Alderson et al. 2025,Alderson et al. 2025,Near Infrared Spectrograph (NIRSpec),Near Infrared Spectrograph (NIRSpec),True,unknown,True,105.0,105.0,0.0026773386400639,0.000458189158316,176.4488329453719,104.0,1.2013073964800967e-05,1.6966233937054989,-0.0049927974480817,0.0008329396369915,0.0082904142377958,1.3642576068356558,False,True,epoch_diff_pipeline
WASP-121 b,Eclipse,518,1771,Mansfield et al. 2021,Pelletier et al. 2026,Wide Field Camera 3,Near Infrared Imager and Slitless Spectrograph (NIRISS),False,unknown,True,14.0,0.0,0.0032679884838996,0.0009637703627206,46.391853778947976,13.0,1.223368185373615e-05,3.568604136842152,0.0415408872440449,0.0066001122335289,0.8719390572666735,0.5648196463981504,False,True,cross_paper
HIP 41378 f,Transmission,665,1016,Edwards et al. 2023,Alam et al. 2022,Wide Field Camera 3,Wide Field Camera 3,True,unknown,True,25.0,0.0,0.0002810794591094,0.0015886030153003,64.62802772589941,24.0,1.3799414541266503e-05,2.6928344885791424,-0.0625292958939336,0.0112720124577401,0.067277681208157,1.4719752265997488,False,True,cross_paper
HAT-P-1 b,Transmission,20,22,Wilson et al. 2015,Sing et al. 2016,OSIRIS,Space Telescope Imaging Spectrograph,False,unknown,True,6.0,6.0,-0.1045241985832185,0.0190848641637187,29.962921395557792,5.0,1.499850327469601e-05,5.992584279111559,-0.2080431226852289,0.3020315608117125,6.219908005733079e-06,7.372114674495822,False,True,cross_paper
TRAPPIST-1 c,Transmission,988,1008,Radica et al. 2025,Rathcke et al. 2025,Near Infrared Imager and Slitless Spectrograph (NIRISS),Near Infrared Spectrograph (NIRSpec) - PRISM,False,unknown,True,25.0,0.0,0.0063450233581591,0.0027873538702757,63.711359273922994,24.0,1.877282132063606e-05,2.6546399697467917,-0.0303178888189521,0.0065775579786513,0.0080078934746236,1.8463383347664828,False,True,cross_paper
WASP-121 b,Transmission,639,1700,Wilson et al. 2021,Evans et al. 2018,GMOS,Wide Field Camera 3,False,unknown,True,29.0,1.0,-0.0226999963379335,0.0049324427982845,69.90369578438958,28.0,1.9195644645318417e-05,2.4965605637282,0.2034899856263276,0.048057862412089,0.0026706190765041,1.924987027042188,False,True,cross_paper
WASP-76 b,Eclipse,405,516,Edwards et al. 2020,Mansfield et al. 2021,Wide Field Camera 3,Wide Field Camera 3,True,unknown,True,13.0,0.0,-0.009212320749134,0.0014079819632961,42.82197149161231,12.0,2.420179899609081e-05,3.568497624301026,0.030781177596484,0.0103277849511142,0.0003700857826334,3.085367689339098,False,True,cross_paper
